"dose_def","battery","indicator","estimator","n_items_w5","n_items_w1","estimate","se_boot","sd_pool","d_std","p","n_old","n_new"
"exact","bipolar_common","mid","ec_adj",20,20,-0.01383,0.00432,0.12492,-0.1107,0.001385,2682,963
"exact","rating_all","ext","naive",26,NA,0.01331,0.0034,0.11223,0.1186,9.146e-05,2682,963
"exact","rating_all","ext","sm",26,NA,0.0175,0.00461,0.11223,0.1559,0.0001492,2682,578
"exact","rating_all","ext","ssm",26,NA,0.01809,0.00494,0.11223,0.1611,0.0002501,2347,493
"exact","rating_all","mid","naive",21,NA,-0.01382,0.00415,0.12209,-0.1132,0.0008529,2682,963
"exact","rating_all","mid","sm",21,NA,-0.01735,0.00533,0.12209,-0.1421,0.001141,2682,578
"exact","rating_all","mid","ssm",21,NA,-0.01824,0.00584,0.12209,-0.1494,0.001808,2347,493
"exact","rating_common","ext","naive",25,25,0.01376,0.00357,0.11325,0.1215,0.0001179,2682,963
"exact","rating_common","ext","sm",25,25,0.01779,0.00468,0.11325,0.1571,0.0001451,2682,578
"exact","rating_common","ext","ssm",25,25,0.01808,0.00497,0.11325,0.1597,0.000276,2347,493
"exact","rating_common","ext","ec",25,25,0.01542,0.00413,0.11325,0.1362,0.0001883,2682,963
"exact","rating_common","ext","ec_adj",25,25,0.01549,0.00413,0.11325,0.1368,0.0001731,2682,963
"exact","rating_common","mid","naive",20,20,-0.01472,0.00418,0.12492,-0.1178,0.0004349,2682,963
"exact","rating_common","mid","sm",20,20,-0.01934,0.00528,0.12492,-0.1548,0.0002472,2682,578
"exact","rating_common","mid","ssm",20,20,-0.02064,0.00577,0.12492,-0.1652,0.0003485,2347,493
"exact","rating_common","mid","ec",20,20,-0.01379,0.00441,0.12492,-0.1104,0.00177,2682,963
"exact","rating_common","mid","ec_adj",20,20,-0.01383,0.00432,0.12492,-0.1107,0.001385,2682,963
"exact","ratingfreq_all","ext","naive",28,NA,0.01293,0.00327,0.11047,0.117,7.886e-05,2682,963
"exact","ratingfreq_all","ext","sm",28,NA,0.01705,0.00446,0.11047,0.1544,0.0001338,2682,578
"exact","ratingfreq_all","ext","ssm",28,NA,0.01809,0.00477,0.11047,0.1637,0.0001514,2347,493
"exact","ratingfreq_all","mid","naive",21,NA,-0.01382,0.00415,0.12209,-0.1132,0.0008529,2682,963
"exact","ratingfreq_all","mid","sm",21,NA,-0.01735,0.00533,0.12209,-0.1421,0.001141,2682,578
"exact","ratingfreq_all","mid","ssm",21,NA,-0.01824,0.00584,0.12209,-0.1494,0.001808,2347,493
"exact","ratingfreq_common","ext","naive",25,25,0.01376,0.00357,0.11325,0.1215,0.0001179,2682,963
"exact","ratingfreq_common","ext","sm",25,25,0.01779,0.00468,0.11325,0.1571,0.0001451,2682,578
"exact","ratingfreq_common","ext","ssm",25,25,0.01808,0.00497,0.11325,0.1597,0.000276,2347,493
"exact","ratingfreq_common","ext","ec",25,25,0.01542,0.00413,0.11325,0.1362,0.0001883,2682,963
"exact","ratingfreq_common","ext","ec_adj",25,25,0.01549,0.00413,0.11325,0.1368,0.0001731,2682,963
"exact","ratingfreq_common","mid","naive",20,20,-0.01472,0.00418,0.12492,-0.1178,0.0004349,2682,963
"exact","ratingfreq_common","mid","sm",20,20,-0.01934,0.00528,0.12492,-0.1548,0.0002472,2682,578
"exact","ratingfreq_common","mid","ssm",20,20,-0.02064,0.00577,0.12492,-0.1652,0.0003485,2347,493
"exact","ratingfreq_common","mid","ec",20,20,-0.01379,0.00441,0.12492,-0.1104,0.00177,2682,963
"exact","ratingfreq_common","mid","ec_adj",20,20,-0.01383,0.00432,0.12492,-0.1107,0.001385,2682,963
"exact","v07_asrun","ext","naive",30,25,0.01292,0.00334,0.10882,0.1187,0.0001095,2682,963
"exact","v07_asrun","ext","sm",30,25,0.01657,0.00435,0.10882,0.1522,0.0001374,2682,578
"exact","v07_asrun","ext","ssm",30,25,0.01764,0.00479,0.10882,0.1621,0.0002324,2347,493
"exact","v07_asrun","ext","ec",30,25,0.01459,0.004,0.10882,0.134,0.0002637,2682,963
"exact","v07_asrun","ext","ec_adj",30,25,0.01458,0.004,0.10882,0.134,0.0002706,2682,963
"exact","v07_asrun","mid","naive",30,25,-0.01344,0.0036,0.10929,-0.123,0.000192,2682,963
"exact","v07_asrun","mid","sm",30,25,-0.01586,0.00501,0.10929,-0.1451,0.001541,2682,578
"exact","v07_asrun","mid","ssm",30,25,-0.018,0.00558,0.10929,-0.1647,0.001257,2347,493
"exact","v07_asrun","mid","ec",30,25,-0.01267,0.00376,0.10929,-0.116,0.0007528,2682,963
"exact","v07_asrun","mid","ec_adj",30,25,-0.0127,0.00373,0.10929,-0.1162,0.0006713,2682,963
"exact","v07_common","ext","naive",25,25,0.01376,0.00357,0.11325,0.1215,0.0001179,2682,963
"exact","v07_common","ext","sm",25,25,0.01779,0.00468,0.11325,0.1571,0.0001451,2682,578
"exact","v07_common","ext","ssm",25,25,0.01808,0.00497,0.11325,0.1597,0.000276,2347,493
"exact","v07_common","ext","ec",25,25,0.01542,0.00413,0.11325,0.1362,0.0001883,2682,963
"exact","v07_common","ext","ec_adj",25,25,0.01549,0.00413,0.11325,0.1368,0.0001731,2682,963
"exact","v07_common","mid","naive",25,25,-0.01337,0.004,0.11606,-0.1152,0.0008241,2682,963
"exact","v07_common","mid","sm",25,25,-0.01716,0.00536,0.11606,-0.1479,0.00138,2682,578
"exact","v07_common","mid","ssm",25,25,-0.01851,0.00599,0.11606,-0.1595,0.00201,2347,493
"exact","v07_common","mid","ec",25,25,-0.0126,0.00408,0.11606,-0.1086,0.002023,2682,963
"exact","v07_common","mid","ec_adj",25,25,-0.01268,0.004,0.11606,-0.1093,0.001501,2682,963
"any","rating_common (main)","ext","naive",25,25,0.01217,0.00372,0.11183,0.1089,0.001068,4164,963
"any","rating_common (main)","ext","sm",25,25,0.01621,0.0046,0.11183,0.145,0.0004236,4164,578
"any","rating_common (main)","ext","ssm",25,25,0.01648,0.00478,0.11183,0.1473,0.0005739,3618,493
"any","rating_common (main)","ext","ec",25,25,0.0142,0.00381,0.11183,0.127,0.0001981,4164,963
"any","rating_common (main)","ext","ec_adj",25,25,0.01423,0.00382,0.11183,0.1273,0.0001954,4164,963
"any","rating_common (main)","mid","naive",20,20,-0.01259,0.00415,0.12367,-0.1018,0.002425,4164,963
"any","rating_common (main)","mid","sm",20,20,-0.01721,0.00531,0.12367,-0.1392,0.001194,4164,578
"any","rating_common (main)","mid","ssm",20,20,-0.01803,0.00575,0.12367,-0.1458,0.001733,3618,493
"any","rating_common (main)","mid","ec",20,20,-0.01439,0.00424,0.12367,-0.1164,0.0006916,4164,963
"any","rating_common (main)","mid","ec_adj",20,20,-0.01435,0.00417,0.12367,-0.116,0.0005741,4164,963
"any","agree_common","ext","naive",20,20,0.0131,0.00374,0.11753,0.1115,0.0004555,4164,963
"any","agree_common","ext","sm",20,20,0.01739,0.00483,0.11753,0.148,0.0003212,4164,578
"any","agree_common","ext","ssm",20,20,0.01863,0.00505,0.11753,0.1585,0.0002211,3618,493
"any","agree_common","ext","ec",20,20,0.01517,0.00388,0.11753,0.1291,9.338e-05,4164,963
"any","agree_common","ext","ec_adj",20,20,0.01527,0.00391,0.11753,0.1299,9.277e-05,4164,963
"any","agree_common","mid","naive",20,20,-0.01259,0.00415,0.12367,-0.1018,0.002425,4164,963
"any","agree_common","mid","sm",20,20,-0.01721,0.00531,0.12367,-0.1392,0.001194,4164,578
"any","agree_common","mid","ssm",20,20,-0.01803,0.00575,0.12367,-0.1458,0.001733,3618,493
"any","agree_common","mid","ec",20,20,-0.01439,0.00424,0.12367,-0.1164,0.0006916,4164,963
"any","agree_common","mid","ec_adj",20,20,-0.01435,0.00417,0.12367,-0.116,0.0005741,4164,963
"any","bipolar_common","ext","naive",20,20,0.0131,0.00374,0.11753,0.1115,0.0004555,4164,963
"any","bipolar_common","ext","sm",20,20,0.01739,0.00483,0.11753,0.148,0.0003212,4164,578
"any","bipolar_common","ext","ssm",20,20,0.01863,0.00505,0.11753,0.1585,0.0002211,3618,493
"any","bipolar_common","ext","ec",20,20,0.01517,0.00388,0.11753,0.1291,9.338e-05,4164,963
"any","bipolar_common","ext","ec_adj",20,20,0.01527,0.00391,0.11753,0.1299,9.277e-05,4164,963
"any","bipolar_common","mid","naive",20,20,-0.01259,0.00415,0.12367,-0.1018,0.002425,4164,963
"any","bipolar_common","mid","sm",20,20,-0.01721,0.00531,0.12367,-0.1392,0.001194,4164,578
"any","bipolar_common","mid","ssm",20,20,-0.01803,0.00575,0.12367,-0.1458,0.001733,3618,493
"any","bipolar_common","mid","ec",20,20,-0.01439,0.00424,0.12367,-0.1164,0.0006916,4164,963
"any","bipolar_common","mid","ec_adj",20,20,-0.01435,0.00417,0.12367,-0.116,0.0005741,4164,963
"any","rating_all","ext","naive",26,NA,0.01182,0.00363,0.11085,0.1066,0.001145,4164,963
"any","rating_all","ext","sm",26,NA,0.01601,0.00461,0.11085,0.1444,0.0005184,4164,578
"any","rating_all","ext","ssm",26,NA,0.01652,0.00481,0.11085,0.149,0.0005963,3618,493
"any","rating_all","mid","naive",21,NA,-0.01118,0.00411,0.12114,-0.0923,0.006574,4164,963
"any","rating_all","mid","sm",21,NA,-0.0147,0.00534,0.12114,-0.1214,0.00586,4164,578
"any","rating_all","mid","ssm",21,NA,-0.01511,0.00578,0.12114,-0.1247,0.00892,3618,493
"any","rating_common","ext","naive",25,25,0.01217,0.00372,0.11183,0.1089,0.001068,4164,963
"any","rating_common","ext","sm",25,25,0.01621,0.0046,0.11183,0.145,0.0004236,4164,578
"any","rating_common","ext","ssm",25,25,0.01648,0.00478,0.11183,0.1473,0.0005739,3618,493
"any","rating_common","ext","ec",25,25,0.0142,0.00381,0.11183,0.127,0.0001981,4164,963
"any","rating_common","ext","ec_adj",25,25,0.01423,0.00382,0.11183,0.1273,0.0001954,4164,963
"any","rating_common","mid","naive",20,20,-0.01259,0.00415,0.12367,-0.1018,0.002425,4164,963
"any","rating_common","mid","sm",20,20,-0.01721,0.00531,0.12367,-0.1392,0.001194,4164,578
"any","rating_common","mid","ssm",20,20,-0.01803,0.00575,0.12367,-0.1458,0.001733,3618,493
"any","rating_common","mid","ec",20,20,-0.01439,0.00424,0.12367,-0.1164,0.0006916,4164,963
"any","rating_common","mid","ec_adj",20,20,-0.01435,0.00417,0.12367,-0.116,0.0005741,4164,963
"any","ratingfreq_all","ext","naive",28,NA,0.01144,0.00357,0.10895,0.105,0.00135,4164,963
"any","ratingfreq_all","ext","sm",28,NA,0.01557,0.00455,0.10895,0.1429,0.0006292,4164,578
"any","ratingfreq_all","ext","ssm",28,NA,0.01625,0.00478,0.10895,0.1491,0.0006772,3618,493
"any","ratingfreq_all","mid","naive",21,NA,-0.01118,0.00411,0.12114,-0.0923,0.006574,4164,963
"any","ratingfreq_all","mid","sm",21,NA,-0.0147,0.00534,0.12114,-0.1214,0.00586,4164,578
"any","ratingfreq_all","mid","ssm",21,NA,-0.01511,0.00578,0.12114,-0.1247,0.00892,3618,493
"any","ratingfreq_common","ext","naive",25,25,0.01217,0.00372,0.11183,0.1089,0.001068,4164,963
"any","ratingfreq_common","ext","sm",25,25,0.01621,0.0046,0.11183,0.145,0.0004236,4164,578
"any","ratingfreq_common","ext","ssm",25,25,0.01648,0.00478,0.11183,0.1473,0.0005739,3618,493
"any","ratingfreq_common","ext","ec",25,25,0.0142,0.00381,0.11183,0.127,0.0001981,4164,963
"any","ratingfreq_common","ext","ec_adj",25,25,0.01423,0.00382,0.11183,0.1273,0.0001954,4164,963
"any","ratingfreq_common","mid","naive",20,20,-0.01259,0.00415,0.12367,-0.1018,0.002425,4164,963
"any","ratingfreq_common","mid","sm",20,20,-0.01721,0.00531,0.12367,-0.1392,0.001194,4164,578
"any","ratingfreq_common","mid","ssm",20,20,-0.01803,0.00575,0.12367,-0.1458,0.001733,3618,493
"any","ratingfreq_common","mid","ec",20,20,-0.01439,0.00424,0.12367,-0.1164,0.0006916,4164,963
"any","ratingfreq_common","mid","ec_adj",20,20,-0.01435,0.00417,0.12367,-0.116,0.0005741,4164,963
"any","v07_asrun","ext","naive",30,25,0.01155,0.00364,0.10731,0.1076,0.001532,4164,963
"any","v07_asrun","ext","sm",30,25,0.01519,0.00446,0.10731,0.1416,0.0006653,4164,578
"any","v07_asrun","ext","ssm",30,25,0.01586,0.00482,0.10731,0.1478,0.001003,3618,493
"any","v07_asrun","ext","ec",30,25,0.01357,0.00373,0.10731,0.1265,0.0002731,4164,963
"any","v07_asrun","ext","ec_adj",30,25,0.01354,0.00374,0.10731,0.1262,0.0002989,4164,963
"any","v07_asrun","mid","naive",30,25,-0.01135,0.00353,0.10886,-0.1043,0.001302,4164,963
"any","v07_asrun","mid","sm",30,25,-0.01377,0.00496,0.10886,-0.1265,0.005536,4164,578
"any","v07_asrun","mid","ssm",30,25,-0.01528,0.00559,0.10886,-0.1404,0.006299,3618,493
"any","v07_asrun","mid","ec",30,25,-0.01307,0.00363,0.10886,-0.12,0.0003229,4164,963
"any","v07_asrun","mid","ec_adj",30,25,-0.01307,0.00362,0.10886,-0.12,0.0003105,4164,963
"any","v07_common","ext","naive",25,25,0.01217,0.00372,0.11183,0.1089,0.001068,4164,963
"any","v07_common","ext","sm",25,25,0.01621,0.0046,0.11183,0.145,0.0004236,4164,578
"any","v07_common","ext","ssm",25,25,0.01648,0.00478,0.11183,0.1473,0.0005739,3618,493
"any","v07_common","ext","ec",25,25,0.0142,0.00381,0.11183,0.127,0.0001981,4164,963
"any","v07_common","ext","ec_adj",25,25,0.01423,0.00382,0.11183,0.1273,0.0001954,4164,963
"any","v07_common","mid","naive",25,25,-0.01206,0.00389,0.1153,-0.1046,0.001963,4164,963
"any","v07_common","mid","sm",25,25,-0.01585,0.00534,0.1153,-0.1375,0.002977,4164,578
"any","v07_common","mid","ssm",25,25,-0.01655,0.00594,0.1153,-0.1436,0.005338,3618,493
"any","v07_common","mid","ec",25,25,-0.01377,0.004,0.1153,-0.1194,0.0005688,4164,963
"any","v07_common","mid","ec_adj",25,25,-0.01381,0.00393,0.1153,-0.1198,0.000446,4164,963
